Data;Energia elétrica - consumo - residência - quantidade - GWh - Eletrobras - ELETRO12_CEERES12;
1976.01;1259,8;
1976.02;1161,6;
1976.03;1191,6;
1976.04;1180,4;
1976.05;1205,2;
1976.06;1180,9;
1976.07;1227;
1976.08;1188,1;
1976.09;1266,3;
1976.10;1269,9;
1976.11;1294,6;
1976.12;1332,5;
1977.01;1378,7;
1977.02;1369,3;
1977.03;1387,2;
1977.04;1397,6;
1977.05;1414,1;
1977.06;1356,6;
1977.07;1379,5;
1977.08;1374,3;
1977.09;1468,1;
1977.10;1471,4;
1977.11;1499,9;
1977.12;1526,1;
1978.01;1503,3;
1978.02;1582,2;
1978.03;1541,7;
1978.04;1523,2;
1978.05;1549,9;
1978.06;1536;
1978.07;1507,9;
1978.08;1577,4;
1978.09;1627,6;
1978.10;1584;
1978.11;1656,5;
1978.12;1629,8;
1979.01;1712;
1979.02;1647;
1979.03;1736;
1979.04;1681;
1979.05;1757;
1979.06;1689;
1979.07;1730;
1979.08;1697;
1979.09;1809;
1979.10;1789;
1979.11;1840;
1979.12;1867;
1980.01;1930;
1980.02;1865;
1980.03;1885;
1980.04;1914;
1980.05;1932;
1980.06;1894;
1980.07;1891;
1980.08;1965;
1980.09;1946;
1980.10;1939;
1980.11;2061;
1980.12;1962;
1981.01;2296;
1981.02;2029;
1981.03;2080;
1981.04;1974;
1981.05;2083;
1981.06;1949;
1981.07;2007;
1981.08;2090;
1981.09;2081;
1981.10;2117;
1981.11;2149;
1981.12;2105;
1982.01;2326;
1982.02;2050;
1982.03;2140;
1982.04;2342;
1982.05;2163;
1982.06;2207;
1982.07;2239;
1982.08;2236;
1982.09;2343;
1982.10;2290;
1982.11;2380;
1982.12;2350;
1983.01;2538;
1983.02;2416;
1983.03;2397;
1983.04;2564;
1983.05;2407;
1983.06;2562;
1983.07;2407;
1983.08;2403;
1983.09;2592;
1983.10;2507;
1983.11;2501;
1983.12;2448;
1984.01;2619;
1984.02;2626;
1984.03;2694;
1984.04;2476;
1984.05;2548;
1984.06;2540;
1984.07;2486;
1984.08;2523;
1984.09;2638;
1984.10;2485;
1984.11;2733;
1984.12;2555;
1985.01;2753;
1985.02;2654;
1985.03;2643;
1985.04;2797;
1985.05;2692;
1985.06;2655;
1985.07;2518;
1985.08;2710;
1985.09;2767;
1985.10;2741;
1985.11;2907;
1985.12;2787;
1986.01;3018;
1986.02;2936;
1986.03;2711;
1986.04;2870;
1986.05;2985;
1986.06;2945;
1986.07;2884;
1986.08;3038;
1986.09;3028;
1986.10;3053;
1986.11;3197;
1986.12;3082;
1987.01;3430;
1987.02;3157;
1987.03;3274;
1987.04;3113;
1987.05;3225;
1987.06;3020;
1987.07;3104;
1987.08;3217;
1987.09;3174;
1987.10;3207;
1987.11;3241;
1987.12;3181;
1988.01;3581;
1988.02;3345;
1988.03;3301;
1988.04;3550;
1988.05;3258;
1988.06;3320;
1988.07;3291;
1988.08;3171;
1988.09;3501;
1988.10;3443;
1988.11;3367;
1988.12;3408;
1989.01;3528;
1989.02;3636;
1989.03;3476;
1989.04;3717;
1989.05;3555;
1989.06;3547;
1989.07;3609;
1989.08;3530;
1989.09;3844;
1989.10;3704;
1989.11;3808;
1989.12;3701;
1990.01;4090;
1990.02;3865;
1990.03;3954;
1990.04;4107;
1990.05;3917;
1990.06;3934;
1990.07;3713;
1990.08;3871;
1990.09;4103;
1990.10;4125;
1990.11;4290;
1990.12;3982;
1991.01;4425;
1991.02;4240;
1991.03;4059;
1991.04;4204;
1991.05;4256;
1991.06;4268;
1991.07;4050;
1991.08;4291;
1991.09;4276;
1991.10;4272;
1991.11;4440;
1991.12;4327;
1992.01;4747;
1992.02;4405;
1992.03;4449;
1992.04;4211;
1992.05;4408;
1992.06;4140;
1992.07;4213;
1992.08;4253;
1992.09;4279;
1992.10;4267;
1992.11;4343;
1992.12;4186;
1993.01;4657;
1993.02;4252;
1993.03;4373;
1993.04;4648;
1993.05;4447;
1993.06;4375;
1993.07;4298;
1993.08;4378;
1993.09;4538;
1993.10;4553;
1993.11;4595;
1993.12;4512;
1994.01;4677;
1994.02;4624;
1994.03;4537;
1994.04;4706;
1994.05;4511;
1994.06;4619;
1994.07;4438;
1994.08;4456;
1994.09;4815;
1994.10;4847;
1994.11;4911;
1994.12;4813;
1995.01;5219;
1995.02;5062;
1995.03;5326;
1995.04;5187;
1995.05;5230;
1995.06;5083;
1995.07;5186;
1995.08;5171;
1995.09;5507;
1995.10;5429;
1995.11;5651;
1995.12;5525;
1996.01;5851;
1996.02;5742;
1996.03;5845;
1996.04;5876;
1996.05;5676;
1996.06;5628;
1996.07;5547;
1996.08;5679;
1996.09;5769;
1996.10;5836;
1996.11;5838;
1996.12;5764;
1997.01;6522;
1997.02;6176;
1997.03;5993;
1997.04;6050;
1997.05;6059;
1997.06;6069;
1997.07;5981;
1997.08;6025;
1997.09;6151;
1997.10;6335;
1997.11;6398;
1997.12;6330;
1998.01;7178;
1998.02;6518;
1998.03;6650;
1998.04;6675;
1998.05;6591;
1998.06;6227;
1998.07;6320;
1998.08;6443;
1998.09;6679;
1998.10;6711;
1998.11;6642;
1998.12;6705;
1999.01;7190;
1999.02;6745;
1999.03;6841;
1999.04;7115;
1999.05;6587;
1999.06;6642;
1999.07;6611;
1999.08;6581;
1999.09;6795;
1999.10;6674;
1999.11;6715;
1999.12;6797;
2000.01;7230;
2000.02;7001;
2000.03;7099;
2000.04;6962;
2000.05;6910;
2000.06;6737;
2000.07;6731;
2000.08;6759;
2000.09;6985;
2000.10;7126;
2000.11;7053;
2000.12;7021;
2001.01;7357;
2001.02;7266;
2001.03;7423;
2001.04;7382;
2001.05;6948;
2001.06;5919;
2001.07;5076;
2001.08;5091;
2001.09;5243;
2001.10;5185;
2001.11;5391;
2001.12;5341;
2002.01;5771;
2002.02;5703;
2002.03;5818;
2002.04;6259;
2002.05;6215;
2002.06;6003;
2002.07;5820;
2002.08;6035;
2002.09;6026;
2002.10;6179;
2002.11;6449;
2002.12;6383;
2003.01;6786;
2003.02;6518;
2003.03;6618;
2003.04;6228;
2003.05;6354;
2003.06;6165;
2003.07;6058;
2003.08;6175;
2003.09;6095;
2003.10;6378;
2003.11;6385;
2003.12;6407;
2004.01;6784;
2004.02;6428;
2004.03;6595;
2004.04;6805;
2004.05;6477;
2004.06;6290;
2004.07;6293;
2004.08;6304;
2004.09;6604;
2004.10;6605;
2004.11;6631;
2004.12;6643;
2005.01;7129;
2005.02;6767;
2005.03;6874;
2005.04;7142;
2005.05;6719;
2005.06;6781;
2005.07;6644;
2005.08;6705;
2005.09;6920;
2005.10;6919;
2005.11;7048;
2005.12;7079;
2006.01;7184;
2006.02;7132;
2006.03;7677;
2006.04;7233;
2006.05;6933;
2006.06;6964;
2006.07;6891;
2006.08;6940;
2006.09;7129;
2006.10;7183;
2006.11;7439;
2006.12;7367;
2007.01;7781;
2007.02;7482;
2007.03;7677;
2007.04;7807;
2007.05;7570;
2007.06;7210;
2007.07;7076;
2007.08;7349;
2007.09;7449;
2007.10;7512;
2007.11;7769;
2007.12;7617;
2008.01;8141;
2008.02;7965;
2008.03;7693;
2008.04;7751;
2008.05;7912;
2008.06;7621;
2008.07;7653;
2008.08;7865;
2008.09;7816;
2008.10;8120;
2008.11;8238;
2008.12;7942;
2009.01;8592;
2009.02;8137;
2009.03;8490;
2009.04;8471;
2009.05;8188;
2009.06;7909;
2009.07;8105;
2009.08;8402;
2009.09;8417;
2009.10;8529;
2009.11;8646;
2009.12;8870;
2010.01;9235;
2010.02;8912;
2010.03;9153;
2010.04;9150;
2010.05;8709;
2010.06;8676;
2010.07;8448;
2010.08;8812;
2010.09;8904;
2010.10;8951;
2010.11;8963;
2010.12;9302;
2011.01;9810;
2011.02;9405;
2011.03;9508;
2011.04;9237;
2011.05;9138;
2011.06;8868;
2011.07;9128;
2011.08;9201;
2011.09;9524;
2011.10;9365;
2011.11;9303;
2011.12;9483;
2012.01;9800;
2012.02;9705;
2012.03;10271;
2012.04;9928;
2012.05;9532;
2012.06;9605;
2012.07;9274;
2012.08;9616;
2012.09;9749;
2012.10;9788;
2012.11;10239;
2012.12;10133;
2013.01;10912;
2013.02;10473;
2013.03;10356;
2013.04;10301;
2013.05;10241;
2013.06;10091;
2013.07;10021;
2013.08;10279;
2013.09;10250;
2013.10;10544;
2013.11;10710;
2013.12;10705;
2014.01;11779;
2014.02;11856;
2014.03;11269;
2014.04;10760;
2014.05;10856;
2014.06;10302;
2014.07;10556;
2014.08;10523;
2014.09;10547;
2014.10;11092;
2014.11;11371;
2014.12;11161;
2015.01;12502;
2015.02;11729;
2015.03;11131;
2015.04;10954;
2015.05;10540;
2015.06;10095;
2015.07;10093;
2015.08;10297;
2015.09;10419;
2015.10;11131;
2015.11;11115;
2015.12;11067;
2016.01;11821;
2016.02;11352;
2016.03;11317;
2016.04;11783;
2016.05;10932;
2016.06;10614;
2016.07;10381;
2016.08;10428;
2016.09;10890;
2016.10;10856;
2016.11;11134;
2016.12;11357;
2017.01;11881;
2017.02;11330;
2017.03;12107;
2017.04;11110;
2017.05;10912;
2017.06;10753;
2017.07;10389;
2017.08;10435;
2017.09;11066;
2017.10;11119;
2017.11;11413;
2017.12;11389;
2018.01;11849;
2018.02;11539;
2018.03;11793;
2018.04;11781;
2018.05;11229;
2018.06;10918;
2018.07;10643;
2018.08;10689;
2018.09;11007;
2018.10;11412;
2018.11;11639;
2018.12;11519;
2019.01;12797;
2019.02;12603;
2019.03;12338;
2019.04;11554;
2019.05;11904;
2019.06;10877;
2019.07;10918;
2019.08;10988;
2019.09;11365;
2019.10;11924;
2019.11;12377;
2019.12;12176;
2020.01;12907;
2020.02;12370;
2020.03;12446;
2020.04;12308;
2020.05;11809;
2020.06;11393;
2020.07;11703;
2020.08;11852;
2020.09;12241;
2020.10;13084;
2020.11;12776;
2020.12;13301;
2021.01;13598;
2021.02;12816;
2021.03;13204;
2021.04;13295;
2021.05;11917;
2021.06;11956;
2021.07;11653;
2021.08;11780;
2021.09;12595;
2021.10;12533;
2021.11;12386;
2021.12;13090;
2022.01;13070;
2022.02;13025;
2022.03;13926;
2022.04;12879;
2022.05;12283;
2022.06;11922;
2022.07;11989;
